id,level,standard,subject,Language,question,option1,option2,option3,option4,correct option,concept,hint
334,advan,12,phy,english,"Match: (a) Newton, (b) Ampere, (c) Volt, (d) Ohm → (i) Force, (ii) Potential difference, (iii) Resistance, (iv) Current","a-i, b-iv, c-ii, d-iii","a-ii, b-iii, c-iv, d-i","a-iii, b-i, c-ii, d-iv","a-iv, b-ii, c-i, d-iii",1,Units,Correct SI units.
335,advan,12,phy,english,Which law explains electromagnetic induction?,Lenz’s law,Faraday’s law,Coulomb’s law,Ohm’s law,2,EM Induction,Faraday discovered induction.
336,advan,12,phy,english,Which has highest speed?,Sound,Water wave,Light,Air wave,3,Waves,Light travels fastest.
337,advan,12,phy,english,Odd one out:,DC,AC,Generator,Battery,3,Electricity,Generator produces AC.
338,advan,12,phy,english,Assertion: Mirrors form virtual images. Reason: They reflect light.,"A true, R true, R explains A","A true, R true, R does not explain A","A true, R false","A false, R true",2,Optics,Reflection doesn’t explain virtuality.
339,advan,12,phy,english,Which instrument splits light into spectrum?,Lens,Prism,Mirror,Telescope,2,Optics,Prism disperses light.
340,advan,12,phy,english,"Match: (a) Electron, (b) Proton, (c) Neutron, (d) Photon → (i) Light particle, (ii) Neutral, (iii) Negative, (iv) Positive","a-iii, b-iv, c-ii, d-i","a-iv, b-i, c-ii, d-iii","a-i, b-iii, c-iv, d-ii","a-ii, b-iv, c-i, d-iii",1,Atomic Structure,Subatomic particles.
341,advan,12,phy,english,SI unit of magnetic field strength:,Weber,Tesla,Gauss,Henry,2,Magnetism,Magnetic flux density in Tesla.
342,advan,12,phy,english,Odd one out:,Motor,Fan,Generator,Torch,4,Electricity,Torch is not motor-based.
343,advan,12,phy,english,Which scientist proposed matter waves?,Einstein,Newton,de Broglie,Bohr,3,Dual Nature,de Broglie proposed wave nature of matter.
344,advan,12,phy,english,Assertion: Semiconductors conduct better than insulators. Reason: They have fewer free electrons.,"A true, R true, R explains A","A true, R true, R does not explain A","A true, R false","A false, R true",1,Semiconductors,Semiconductors are midway.
345,advan,12,phy,english,Which wave needs medium?,Light,Radio,Sound,X-ray,3,Waves,Sound needs medium.
346,advan,12,phy,english,"Match: (a) Microscope, (b) Telescope, (c) Spectrometer, (d) Camera → (i) Records image, (ii) Distant objects, (iii) Small objects, (iv) Spectrum","a-iii, b-ii, c-iv, d-i","a-ii, b-iv, c-i, d-iii","a-i, b-iii, c-ii, d-iv","a-iv, b-iii, c-ii, d-i",1,Instruments,Optical instruments usage.
347,advan,12,phy,english,Unit of electric energy:,Joule,Watt,Volt,Ampere,1,Electricity,Energy = Joule.
348,advan,12,phy,english,Odd one out:,Convex lens,Concave lens,Plane mirror,Magnet,4,Optics,Magnet not optical device.
349,advan,12,phy,english,Which law: “Direction of induced current opposes the cause producing it”?,Coulomb’s law,Ohm’s law,Lenz’s law,Faraday’s law,3,EM Induction,Opposition law.
350,advan,12,phy,english,Assertion: Solar cells produce electricity. Reason: They convert sunlight into electrical energy.,"A true, R true, R explains A","A true, R true, R does not explain A","A true, R false","A false, R true",1,Applications,Solar cells use photovoltaic effect.
