difficulty,grade,subject,language,question,optionA,optionB,optionC,optionD,correctOption,concept,hint
intermediate,10,Chemistry,Tamil,"எத்தனைய உண்மை? (i) உலோகங்கள் நல்ல கூட்டுத்திறன், (ii) அநுலோகங்கள் ductile, (iii) அலுமினியம் விமானங்களில் பயன்படுகிறது, (iv) சோடியம் கெரோசீனில் சேமிக்கப்படுகிறது",2,3,4,1,2,2,காலவரிசை வகைப்படுத்தல்
intermediate,10,Chemistry,Tamil,Period 2 இல் குறைந்த அணுadius யாருக்கு?,லித்தியம்,ஃபுளோரின்,கார்பன்,நியான்,2,காலவரிசை வகைப்படுத்தல்,காலத்தில் அணு அளவு குறைகிறது
intermediate,10,Chemistry,Tamil,யார் நவீன காலவரிசை சட்டத்தை (அணு எண்ணை அடிப்படையாகக் கொண்டு) கொடுத்தார்?,மெண்டிலீவ்,மொஸ்லி,டால்டன்,போர்,2,காலவரிசை வகைப்படுத்தல்,அணு எண் பண்புகளை நிர்ணயிக்கும்
intermediate,10,Chemistry,Tamil,குறிப்பு: உலோக குணம் ஒரு காலத்தில் குறைகிறது. காரணம்: நியூகிளியஸ் கண்ணேற்றம் அதிகரிக்கிறது,1,2,3,4,1,காலவரிசை வகைப்படுத்தல்,electrons இழப்பை தடுக்கும்
intermediate,10,Chemistry,Tamil,"ஒற்றை வேறு: ஆக்சிஜன், நைட்ரஜன், ஃபுளோரின், சோடியம்",ஆக்சிஜன்,நைட்ரஜன்,ஃபுளோரின்,சோடியம்,4,காலவரிசை வகைப்படுத்தல்,ஒருவர் உலோகமாகும்
intermediate,10,Chemistry,Tamil,எந்த கலவை Tyndall விளைவை காட்டுகிறது?,சர்க்கரை கலவை,உப்பு கலவை,பால்,தாமிர சல்பேட் கலவை,3,கலவைகள்,கொலாய்டு கதிரைத் திசை விரிதல்
intermediate,10,Chemistry,Tamil,கீழ்கண்டது உண்மையான கலவையின் பண்பா அல்ல?,ஒரேநிலை,கரைக்கும் பொருள் தெரியும்படி,வடிகட்டி பிரிக்க முடியாது,தெளிவான,2,கலவைகள்,அணு அளவு பற்றி நினைவு
intermediate,10,Chemistry,Tamil,குறிப்பு: supersaturated கலவை நிலைத்திராது. காரணம்: கூடுதல் கரைக்கும் பொருள் எளிதில் படிகமாகிறது,1,2,3,4,1,கலவைகள்,கூடுதல் கரைக்கும் பொருள் precipitation ஆகிறது
intermediate,10,Chemistry,Tamil,"பொருத்துக: A. கொலாய்டு – (i) டிண்டால் விளைவு, B. நிலைத்திருப்பு – (ii) தெளிவாகத் தெரியும் துகள்கள், C. உண்மைக் கரைசல் – (iii) தெளிவு","A-i, B-ii, C-iii","A-iii, B-ii, C-i","A-ii, B-i, C-iii","A-i, B-iii, C-ii",1,கலவைகள்,துகள்கள் காணக்கூடியதை நினைவில் கொள்ளவும்
intermediate,10,Chemistry,Tamil,ஒற்றை வேறு:,ஆதிரவிய கலவை,ஆதிரவியற்ற கலவை,மிகை ஆதிரவிய கலவை,சுத்திகரிக்கப்பட்ட நீர்,4,கலவைகள்,இது திரவத்தின் அடர்த்தியை விவரிப்பதல்ல
intermediate,10,Chemistry,Tamil,கல் நாற்பட்ட வேலையில் எந்த வேதிக்கிரியை பயன்படுத்துகின்றனர்?,கூட்டணி,இடமாற்றம்,Thermite வேதிக்கிரி,நியூட்ரலைசேஷன்,3,வேதிக்கிரியைகள்,அலுமினியம் இரும்பு ஆக்ஸைடை குறைக்கிறது
intermediate,10,Chemistry,Tamil,கூட்டணிக்கு எதிரான வேதிக்கிரியை தேர்ந்தெடு,கரையல்,இடமாற்றம்,ரெடாக்ஸ்,இரட்டை இடமாற்றம்,1,வேதிக்கிரியைகள்,ஒன்று பலவாக பிரிக்கிறது
intermediate,10,Chemistry,Tamil,குறிப்பு: நியூட்ரலைசேஷன் உப்பு மற்றும் தண்ணீர் உற்பத்தி செய்கிறது. காரணம்: அமிலம் அடி சேர்க்கிறது,1,2,3,4,1,வேதிக்கிரியைகள்,HCl + NaOH நினைவில் வைக்கவும்
intermediate,10,Chemistry,Tamil,ஒற்றை வேறு:,திணிப்பு (Precipitation),சமநிலைபடுத்தல் (Neutralization),சிதைவுக் கிரியா (Decomposition),வடிகட்டுதல் (Filtration),4,வேதிக்கிரியைகள்,இது ஒரு வேதிக்கிரியாக அல்ல
intermediate,10,Chemistry,Tamil,எந்த hydrocarbon unsaturated?,எத்தேன்,எத்தீன்,மெத்தேன்,பிரோபேன்,2,கார்பன் சங்கிலிகள்,இரட்டை இணைப்பு உள்ளது
intermediate,10,Chemistry,Tamil,–COOH கொண்ட சேர்மம் எது?,அசிட்டிக் அமிலம்,எத்தானால்,மெத்தேன்,எத்தியல்அமின்,1,கார்பன் சங்கிலிகள்,கார்போக்சிலிக் அமிலம்
intermediate,10,Chemistry,Tamil,குறிப்பு: கார்பன் catenation காட்டுகிறது. காரணம்: கார்பன் நீண்ட சங்கிலிகள் உருவாக்கலாம்,1,2,3,4,1,கார்பன் சங்கிலிகள்,ஹைட்ரோகார்பன் சங்கிலிகள் நினைவில் வைக்கவும்
intermediate,10,Chemistry,Tamil,"ஒற்றை வேறு: அல்கேன், அல்கீன், அல்கைன், ஆல்கஹால்",அல்கேன்,அல்கீன்,அல்கைன்,ஆல்கஹால்,4,கார்பன் சங்கிலிகள்,ஒருவர் hydrocarbon அல்ல
intermediate,10,Chemistry,Tamil,பாக்சைட்டிலிருந்து எது உற்பத்தி செய்யப்படுகிறது?,இரும்பு,தாமிரம்,அலுமினியம்,ஸிங்க்,3,உலோகம் மீட்டல்,பாக்சைட் அதன் கனிமம்
advance,10,Chemistry,Tamil,எந்த சுத்திகரிப்பு பொருள் கடின மற்றும் மென்மையான நீரில் வேலை செய்கிறது?,சோப்,டிடெர்ஜென்ட்,ஷாம்பு,வெனிகர்,2,சோப்புகள் & டிடெர்ஜென்ட்ஸ்,செயற்கை சுத்திகரிப்பு பொருட்கள் சிறந்தவை
advance,11,Chemistry,Tamil,பொருளின் அளவின் எஸ்.ஐ அலகு எது?,கிலோกรாம்,மோல்,லிட்டர்,கிராம்,2,அடிப்படை கருத்துகள்,மோல் தான் தர நிலையான அலகு.
advance,11,Chemistry,Tamil,எந்தப் பொருளின் ஒரு மோலில் இருக்கும்?,6.022 × 10²³ துகள்கள்,1 கிராம் அணுக்கள்,22.4 கிராம்,1 அணு,1,அடிப்படை கருத்துகள்,அவோகாட்ரோ எண் மோலை வரையறுக்கிறது.
advance,11,Chemistry,Tamil,விரிவான பண்பல்லாதது எது?,வெகுஜனம்,பருமன்,அடர்த்தி,ஆற்றல்,3,அடிப்படை கருத்துகள்,அடர்த்தி பொருளின் அளவிற்கு சார்ந்ததல்ல.
advance,11,Chemistry,Tamil,கூற்று: ஆற்றல் அளவிட்டது. காரணம்: எலக்ட்ரான்கள் நிலையான ஆற்றல் நிலைகளில் சுற்றுகின்றன.,"இரண்டும் உண்மை, காரணம் சரி","இரண்டும் உண்மை, காரணம் சரியல்ல","கூற்று உண்மை, காரணம் பொய்","கூற்று பொய், காரணம் உண்மை",1,குவாண்டம் மாதிரி,போரின் மாதிரி ஆற்றல் அளவிட்டது என்பதை விளக்குகிறது.
advance,11,Chemistry,Tamil,ஆர்பிடலின் வடிவத்தை விவரிக்கும் குவாண்டம் எண் எது?,பிரதானம்,அசிமுத்தல்,காந்த,சுழற்சி,2,குவாண்டம் மாதிரி,அசிமுத்தல் (l) ஆர்பிடல் வடிவம் சொல்கிறது.
advance,11,Chemistry,Tamil,எந்த ஆர்பிடல் உருண்டை வடிவில் இருக்கும்?,p,d,s,f,3,குவாண்டம் மாதிரி,s-ஆர்பிடல் உருண்டை வடிவம்.
advance,11,Chemistry,Tamil,l = 2 க்கு சாத்தியமான ஆர்பிடல்கள் எண்ணிக்கை,3,5,7,9,2,குவாண்டம் மாதிரி,l=2 ⇒ d-ஆர்பிடல்கள் ⇒ 5.
advance,11,Chemistry,Tamil,அதிகமான அயனாக்க ஆற்றல் கொண்டது எது?,சோடியம் (Na),பொட்டாசியம் (K),லித்தியம் (Li),சீசியம் (Cs),3,அட்டவணை வகைப்பாடு,குழுவில் கீழே செல்ல அயனாக்க ஆற்றல் குறையும்.
advance,11,Chemistry,Tamil,அணு எண் 17 உடைய தனிமம் எந்தப் பிரிவைச் சேர்ந்தது?,s-பிளாக்,p-பிளாக்,d-பிளாக்,f-பிளாக்,2,அட்டவணை வகைப்பாடு,Z=17 ⇒ குளோரி ⇒ p-பிளாக்.
advance,11,Chemistry,Tamil,அல்கலின் எர்த் மெட்டல் எது?,Na,Mg,K,Li,2,அல்கலின் எர்த் மெட்டல்கள்,குழு 2 தனிமம்.
advance,11,Chemistry,Tamil,காலத்தில் அதிகரிக்கும் பண்பு எது?,அணு ஆரம்,உலோகத் தன்மை,அயனாக்க ஆற்றல்,அடிப்படை தன்மை,3,அட்டவணை வகைப்பாடு,காலத்தில் IE அதிகரிக்கும்.
advance,11,Chemistry,Tamil,பொருத்துக: (a) குழு 1 (b) குழு 17 (c) குழு 18 → (i) நன்னீர் வாயுக்கள் (ii) ஹாலஜன்கள் (iii) அல்கலி மெட்டல்கள்,"a-iii, b-ii, c-i","a-ii, b-iii, c-i","a-i, b-iii, c-ii","a-iii, b-i, c-ii",1,அட்டவணை வகைப்பாடு,"குழு 1 அல்கலி, 17 ஹாலஜன்கள், 18 நன்னீர் வாயுக்கள்."
advance,11,Chemistry,Tamil,மிக எளிதான தனிமம் எது?,ஹீலியம்,ஹைட்ரஜன்,லித்தியம்,நீயான்,2,ஹைட்ரஜன்,ஹைட்ரஜன் மிக எளிதானது.
advance,11,Chemistry,Tamil,ஹைட்ரஜனின் எந்த ஐசோடோப் கதிரியக்கமானது?,புரோட்டியம்,டியூட்டீரியம்,டிரிட்டியம்,எதுவும் இல்லை,3,ஹைட்ரஜன்,டிரிட்டியம் கதிரியக்கமானது.
advance,11,Chemistry,Tamil,ஹைட்ரஜன் அல்கலி மெட்டல்களுடன் ஒத்தது ஏன்?,H⁻ அயன்கள் உருவாக்குகிறது,H⁺ அயன்கள் உருவாக்குகிறது,உலோகத் தன்மை உடையது,அதிக அடர்த்தி உடையது,2,ஹைட்ரஜன்,"H, H⁺ உருவாக்குகிறது."
advance,11,Chemistry,Tamil,அழுத்தம் மற்றும் பருமனை தொடர்புபடுத்தும் வாயு விதி எது?,பாய்ல் விதி,சார்ல்ஸ் விதி,அவோகாட்ரோ விதி,டால்டன் விதி,1,வாயு நிலை,PV = மாறாதது.
advance,11,Chemistry,Tamil,"STP-இல், ஒரு மோல் வாயு எவ்வளவு கொள்ளளவு?",22.4 மில்லி,22.4 லிட்டர்,2.24 லிட்டர்,224 லிட்டர்,2,வாயு நிலை,அவோகாட்ரோ விதி.
advance,11,Chemistry,Tamil,கூற்று: வாயுக்கள் எளிதில் சுருங்கும். காரணம்: இடை அணுக்கவலுக்கள் வலிமையானவை.,"இரண்டும் உண்மை, காரணம் சரி","இரண்டும் உண்மை, காரணம் சரியல்ல","கூற்று உண்மை, காரணம் பொய்","கூற்று பொய், காரணம் உண்மை",3,வாயு நிலை,பலவீனமான வலுவுகள் வாயுவை சுருக்கக் காரணம்.
advance,11,Chemistry,Tamil,ΔH < 0 என்பதன் அர்த்தம்,உள்வெப்ப வினை,வெளிவெப்ப வினை,சமநிலை வினை,வினை இல்லை,2,வெப்பவியலியல்,எதிர்மறை ΔH ⇒ வெளிவெப்ப.
advance,11,Chemistry,Tamil,வெப்பவியலியலின் முதல் விதி சொல்வது,ஆற்றல் உருவாக்கப்படும்,ஆற்றல் அழிக்கப்படும்,ஆற்றல் நிலைபெற்றது,சூடு குளிரிலிருந்து சூடுக்கு செல்கிறது,3,வெப்பவியலியல்,ஆற்றல் உருவாக்கவோ அழிக்கவோ முடியாது.
advance,11,Chemistry,Tamil,தன்னிச்சை செயல்பாட்டில் பிரபஞ்சத்தின் என்ட்ரோப்பி,அதிகரிக்கும்,குறையும்,பூஜ்யமாகும்,எதிர்மறை,1,வெப்பவியலியல்,என்ட்ரோப்பி அதிகரிக்கும்.
advance,11,Chemistry,Tamil,எது異-அம்ச (heterogeneous) சமநிலை?,N₂ + 3H₂ ⇌ 2NH₃,CaCO₃ ⇌ CaO + CO₂,H₂ + I₂ ⇌ 2HI,N₂O₄ ⇌ 2NO₂,2,சமநிலை,வேறு நிலைகள் உள்ளன.
advance,11,Chemistry,Tamil,லு சாட்டிலியர் விதி தொடர்பானது?,வினை வேகம்,சமநிலை நிலை,வினையின் வெப்பம்,ஆற்றல் மாற்றம்,2,சமநிலை,சமநிலையின் மாற்றத்தை கணிக்கிறது.
advance,11,Chemistry,Tamil,சமநிலை மாறிலியில் தூய திண்மங்கள்,சேர்க்கப்படும்,நீக்கப்படும்,இரட்டிப்பு,பாதியாக்கப்படும்,2,சமநிலை,திண்மங்கள் சேர்க்கப்படாது.
advance,11,Chemistry,Tamil,எது ஒட்டுணர்வு (colligative) பண்பல்ல?,கொதிநிலை உயர்வு,உறைநிலை குறைவு,ஆவியழுத்த குறைவு,அடர்த்தி,4,கரைவுகள்,அடர்த்தி ஒட்டுணர்வு அல்ல.
advance,11,Chemistry,Tamil,மொலாலிட்டி வரையறை?,மோல் கரைநீர் / லிட்டர் கரைவு,மோல் கரைநீர் / கிலோ கரைப்பான்,கிராம் கரைநீர் / லிட்டர் கரைவு,கிராம் கரைநீர் / 100 g கரைப்பான்,2,கரைவுகள்,மொலாலிட்டி = மோல் / கிலோ கரைப்பான்.
advance,11,Chemistry,Tamil,அதிக உறைநிலை குறைவு காட்டும் கரைவு?,0.1 M NaCl,0.1 M யூரியா,0.1 M குளுக்கோஸ்,0.1 M சூக்கோஸ்,1,கரைவுகள்,NaCl பிரியும் → அதிக துகள்கள்.
advance,11,Chemistry,Tamil,மிக வலுவான பிணைப்பு எது?,அயனிக்,கோவாலென்ட்,ஹைட்ரஜன்,உலோக,2,பிணைப்பு,கோவாலென்ட் > அயனிக் > ஹைட்ரஜன்.
advance,11,Chemistry,Tamil,CH₄ இல் கலப்பு நிலை?,sp,sp²,sp³,dsp³,3,பிணைப்பு,CH₄ = sp³.
advance,11,Chemistry,Tamil,வேறுபட்ட ஒன்று:,sp³,sp²,sp,s²p²,4,பிணைப்பு,சரியான கலப்பு நிலை அல்ல.
advance,11,Chemistry,Tamil,எது C₄H₁₀ ஐசோமர் அல்ல?,n-பியூட்டேன்,ஐசோபியூட்டேன்,சைக்கோபியூட்டேன்,எதுவும் இல்லை,3,கார்பனியல்,சைக்கோபியூட்டேன் = C₄H₈.
advance,11,Chemistry,Tamil,ஆல்கீன் வரிசையின் முதல் உறுப்பு?,எதீன்,மீத்தேன்,எத்தைன்,புரோபீன்,1,ஹைட்ரோகார்பன்கள்,CH₂=CH₂.
advance,11,Chemistry,Tamil,வாசனை ஹைட்ரோகார்பன் எது?,எத்தேன்,பென்சீன்,பியூட்டேன்,புரோபேன்,2,ஹைட்ரோகார்பன்கள்,பென்சீன் வாசனை.
advance,11,Chemistry,Tamil,சூரிய ஒளியில் மீத்தேன் குளோரினேஷன் அளிக்கும்,CH₂Cl₂,CHCl₃,CCl₄,இவை அனைத்தும்,4,ஹாலோஆல்கேன்கள்,படிப்படியாக மாற்றம்.
advance,11,Chemistry,Tamil,எது ஹாலோஆல்கேன் அல்ல?,CH₃Cl,CH₂Cl₂,CCl₄,C₂H₆,4,ஹாலோஆல்கேன்கள்,எத்தேன் ஹாலஜன் இல்லை.
advance,11,Chemistry,Tamil,வேறுபட்ட ஒன்று:,பென்சீன்,டோலுயீன்,ஃபீனாலு,புரோபேன்,4,வாசனைச் சேர்மங்கள்,புரோபேன் அலிபாட்டிக்.
advance,11,Chemistry,Tamil,கூற்று: பென்சீன் எதிர்பார்த்ததைவிட நிலையானது. காரணம்: π எலக்ட்ரான்களின் பகிர்வு.,"இரண்டும் உண்மை, காரணம் சரி","இரண்டும் உண்மை, காரணம் சரியல்ல","கூற்று உண்மை, காரணம் பொய்","கூற்று பொய், காரணம் உண்மை",1,வாசனைச் சேர்மங்கள்,பிணைவு பகிர்வு நிலைபெறச் செய்கிறது.
advance,11,Chemistry,Tamil,அமில மழைக்கு காரணமான வாயு?,CO₂,SO₂,CH₄,H₂,2,சுற்றுச்சூழல்,SO₂ → H₂SO₄.
advance,11,Chemistry,Tamil,பசுமை வீடு வாயு?,N₂,O₂,CO₂,Ar,3,சுற்றுச்சூழல்,CO₂ சூடு சிக்க வைக்கும்.
advance,11,Chemistry,Tamil,ஒசோன் குறைக்கும் மாசு?,CO,CFCs,NO₂,CO₂,2,சுற்றுச்சூழல்,CFCs ஒசோனை அழிக்கிறது.
advance,11,Chemistry,Tamil,பொருத்துக: (a) ஆல்கேன் (b) ஆல்கீன் (c) ஆல்கைன் → (i) CnH₂n (ii) CnH₂n+2 (iii) CnH₂n-2,"a-ii, b-i, c-iii","a-i, b-ii, c-iii","a-iii, b-ii, c-i","a-ii, b-iii, c-i",1,ஹைட்ரோகார்பன்கள்,பொதுச் சூத்திர அடிப்படை.
advance,11,Chemistry,Tamil,C₄H₁₀-க்கு அமைப்பு ஐசோமர்கள் எத்தனை?,1,2,3,4,2,கார்பனியல்,n-பியூட்டேன் & ஐசோபியூட்டேன்.
advance,11,Chemistry,Tamil,எந்த ஹைட்ரோகார்பன் ஆல்கைன்?,C₂H₂,C₂H₆,C₂H₄,CH₄,1,ஹைட்ரோகார்பன்கள்,C₂H₂ எத்தைன்.
advance,11,Chemistry,Tamil,கூற்று: CO விஷமானது. காரணம்: அது ஹீமோகுளோபினுடன் வினைபுரிகிறது.,"இரண்டும் உண்மை, காரணம் சரி","இரண்டும் உண்மை, காரணம் சரியல்ல","கூற்று உண்மை, காரணம் பொய்","கூற்று பொய், காரணம் உண்மை",1,சுற்றுச்சூழல்,CO Hb உடன் வலுவாக பிணையும்.
advance,11,Chemistry,Tamil,எது இருமுக ஆக்சைடு (amphoteric oxide)?,Na₂O,Al₂O₃,SO₃,MgO,2,உலோகவியல்,Al₂O₃ அமிலமும் அடிப்பும்.
advance,11,Chemistry,Tamil,எது இரும்பின் தாது?,பாக்சைட்,ஹீமடைட்,கலீனா,சால்கோபைரைட்,2,உலோகவியல்,Fe₂O₃ = ஹீமடைட்.
advance,11,Chemistry,Tamil,உலோகவியலில் ஃப்ளக்ஸ் பயன்படுத்தப்படுவது?,கழிவுகளை நீக்கு,உலோகத்தை குறை,உலோகத்தை சுத்தப்படுத்து,நிறம் சேர்க்க,1,உலோகவியல்,கழிவுகளை அகற்றும்.
advance,11,Chemistry,Tamil,நுரை மிதப்பு முறை பயன்படுத்தப்படுவது?,சல்பைடு தாதுக்கள்,ஆக்சைடு தாதுக்கள்,ஹாலைடு தாதுக்கள்,கார்பனேட்,1,உலோகவியல்,சல்பைடுகள் பிரிக்கப்படும்.
advance,11,Chemistry,Tamil,எந்த சோப்பு சோடியம் ஸ்டியரேட்?,C₁₇H₃₅COONa,C₁₅H₃₁COONa,C₁₆H₃₃COONa,C₁₇H₃₅COOK,1,சோப்புகள்,ஸ்டியாரிக் அமில உப்பு.
advance,11,Chemistry,Tamil,எது சிதைவுறக்கூடியது?,சோப்பு,டிடர்ஜெண்ட்,பிளாஸ்டிக்,நைலான்,1,சோப்புகள்,சோப்புகள் சிதைவுறும்.
advance,12,Chemistry,Tamil,மிகவும் செயற்பாட்டுள்ள உலோகங்கள் (உதா: சோடியம்) எடுக்க பொதுவாக எது பயன்படுத்தப்படுகிறது?,உருகிய உப்புகளின் மின்கடத்தல்,வேகப்படுத்தல்,கார்பன் மூலம் குறைத்தல்,உருகும் செறிவு,1,உலோகவியல்,ஹைட்ரஜனுக்கு மேலுள்ள உலோகங்களை நினைவில் கொள்ளவும்
advance,12,Chemistry,Tamil,குறிப்புரை: p-பிளாக் எலெமென்ட்கள் மாறும் ஆக்ஸிடேஷன் நிலைகளை காண்பிக்கின்றன. காரணம்: காலியாக உள்ள d-ஆர்பிடல்களின் இருப்பு இந்த தன்மையை விளக்குகிறது.,"இரண்டு குறிப்பும் சரி, காரணம் குறிப்பை விளக்குகிறது",இரண்டு சரியானது ஆனால் தொடர்பில்லாதவை,"குறிப்புரை சரி, காரணம் தவறு",இரண்டு தவறு,1,p-பிளாக் எலெமென்ட்கள்,இனர்ட் பேர் எபெக்ட் தொடர்புடையது
advance,12,Chemistry,Tamil,பின்வரும் எது கிரிஸ்டலைன் உறைப்பு அல்ல?,சோடியம் குளோரைடு,குவார்ட்ஸ்,கண்ணாடி,வைரம்,3,உறைப்பு நிலை,அமோர்பஸ் மற்றும் கிரிஸ்டலைன் வேறுபாடு நினைவில் கொள்ளவும்
advance,12,Chemistry,Tamil,0.1 M HCl தீர்வு-இன் pH சுமார் எவ்வளவு?,1,7,10,13,1,ஐனிக் சமநிலை,pH = -log[H⁺] சூத்திரம் பயன்படுத்தவும்
advance,12,Chemistry,Tamil,"மின்கடத்தல் செலில், கேத்தோடு என்பது எங்கு?",ஆக்ஸிடேஷன் நடக்கும்,குறைத்தல் நடக்கும்,எதுவும் நடைபெறாது,இரண்டும் நடக்கும்,2,மின்சாரவேதியியல்,"குறைந்தது ரெட், ஆக்ஸிட் நினைவில் வைக்கவும்"
advance,12,Chemistry,Tamil,அட்ஸார்ப்ஷன் குறித்து எந்த கூற்று சரியானது?,வெளியீட்டு சூழலில் (Exothermic),உள்ளீட்டு சூழலில் (Endothermic),வெப்பநிலை சாராமல்,எப்போதும் தன்னிச்சையானது அல்ல,1,மேற்பரப்பு வேதியியல்,அட்ஸார்ப்ஷன் சுருங்கல் குறைவாகும்
advance,12,Chemistry,Tamil,எது எளிமையான ஆல்கஹால்?,மெத்தனோல்,எத்தனோல்,ப்ரோபனோல்,பூத்தனோல்,1,ஹைட்ரோக்ஸி சேர்மங்கள்,ஆல்கஹால்களின் சிறிய உறுப்பினர்
advance,12,Chemistry,Tamil,ஆல்டிஹைட்கள் உடைய செயல்பாட்டு குழு எது?,-OH,-COOH,-CHO,-C=O,3,கார்பனில் சேர்மங்கள்,ஆல்டிஹைட்கள் எப்போதும் -அல் என முடிகிறது
advance,12,Chemistry,Tamil,உயிரியல் மாதிரிகளை பாதுகாக்க எது பயன்படுத்தப்படுகிறது?,ஃபார்மால்டிஹைடு,அசிடோன்,எத்தனோல்,மெத்தானோயிக் அமிலம்,1,கார்பனில் சேர்மங்கள்,40% ஃபார்மினை நினைவில் கொள்ளவும்
advance,12,Chemistry,Tamil,ஒப்பிடவும்: (A) யூரியா (B) அனிலின் (C) TNT (D) நைலான் → (1) வெடிப்பூடு (2) உரம் (3) பாலிமர் (4) அமின்,"A-2, B-4, C-1, D-3","A-3, B-2, C-4, D-1","A-1, B-3, C-2, D-4","A-4, B-1, C-3, D-2",1,கார்பன் நைட்ரஜன் இணைப்புகள்,பயன்பாடுகள் மனதில் வைக்கவும்
advance,12,Chemistry,Tamil,பின்வரும்களில் எது டைசக்கரைடை?,குளுகோஸ்,சுக்ரோஸ்,ஃப்ருக்டோஸ்,கலைக்டோஸ்,2,உயிரணு சேர்மங்கள்,டைசக்கரை = 2 மோனோசக்கரை
advance,12,Chemistry,Tamil,எந்த வைட்டமின் குறைபாடு ரிக்கெட்ஸ் ஏற்படுத்தும்?,வைட்டமின் A,வைட்டமின் C,வைட்டமின் D,வைட்டமின் K,3,அன்றாட வேதியியல்,எலும்புகள் & சூரிய ஒளி
advance,12,Chemistry,Tamil,பிளிஸ்டர் காபர் சுத்தம் செய்ய எந்த செயல்முறை பயன்படுத்தப்படுகிறது?,மின்கடத்தல் சுத்தம்,லிக்வேஷன்,ஸோன் சுத்தம்,வெப்ப தனிமை,1,உலோகவியல்,உயர் தூய்மை காப்பர்
advance,12,Chemistry,Tamil,"ஒற்றை தவறு: B, Al, Ga, In",Al,Ga,B,In,3,p-பிளாக் எலெமென்ட்கள்,B என்பது மெட்டலாய்ட்
advance,12,Chemistry,Tamil,எந்த யூனிட் செல்லின் தொகுப்பு அதிக பயன்?,எளிய யூனிட் செல்கள்,உடல் மைய சென்ட்ரட்,முகமூடி மைய சென்ட்ரட்,ஹெக்சகானல்,3,உறைப்பு நிலை,பாகிங் திறன் அதிகம்
advance,12,Chemistry,Tamil,25°C-இல் நியூட்ரல் தீர்வின் pH என்ன?,0,7,14,1,2,ஐனிக் சமநிலை,நியூட்ரல் = H⁺ & OH⁻ சமம்
advance,12,Chemistry,Tamil,ஹைட்ரஜன் எலெக்ட்ரோடு நிலை மின்னழுத்தம் எவ்வளவு?,0 V,1 V,-1 V,2.3 V,1,மின்சாரவேதியியல்,வரையறை மூலம்
advance,12,Chemistry,Tamil,எது அட்ஸார்ப்ஷன் அதிகமாக இருக்கிறது?,பிசிகல்,கெமிக்கல்,இரண்டுமே சமம்,எதுவும் இல்லை,2,மேற்பரப்பு வேதியியல்,பாண்ட் உருவாகுதல் நினைவில் வைக்கவும்
advance,12,Chemistry,Tamil,எத்தனோல் சோடியத்துடன் எதிர்கொள்கிறது:,H₂ வாயு,CO₂ வாயு,O₂ வாயு,Cl₂ வாயு,1,ஹைட்ரோக்ஸி சேர்மங்கள்,செயற்பாட்டுள்ள உலோகங்கள் + ஆல்கஹால் → H₂
advance,12,Chemistry,Tamil,கீட்டோன்கள் ஹைட்ரோசைனியுடன் சேர்ந்து உருவாக்கும்:,ஆக்சிம்கள்,சைனோகிரைன்கள்,இமைன்கள்,கார்போசிலிக் அமிலங்கள்,2,கார்பனில் சேர்மங்கள்,நியூக்ளியோபிலிக் சேர்க்கை
advance,12,Chemistry,Tamil,குறிப்புரை: கார்போசிலிக் அமிலங்கள் ஆல்கஹால்களைவிட அதிக அமிலம். காரணம்: கார்பாக்ஸிலேட் அயன் ரெசோனன்ஸ் மூலம் நிலைநாட்டப்படுகிறது.,"இரண்டு சரி, காரணம் குறிப்பை விளக்குகிறது",இரண்டு சரி ஆனால் தொடர்பில்லாதவை,"குறிப்புரை சரி, காரணம் தவறு",இரண்டு தவறு,1,கார்போசிலிக் அமிலங்கள்,ரெசோனன்ஸ் நிலைத்தன்மை அதிகரிக்கிறது
advance,12,Chemistry,Tamil,எது இரண்டாம் நிலை அமின்?,CH₃NH₂,(CH₃)₂NH,NH₃,C₆H₅NH₂,2,கார்பன் நைட்ரஜன் சேர்மங்கள்,ஆல்கைல் குழுக்களை எண்ணுங்கள்
advance,12,Chemistry,Tamil,ஸ்டார்ச் எதுடன் நீலம் வண்ணம் தருகிறது?,ஆயோடைன்,HCl,NaOH,KMnO₄,1,உயிரணு சேர்மங்கள்,ஸ்டார்ச் சோதனை
advance,12,Chemistry,Tamil,எது வலிப்பை குறைக்கும் மருந்து?,பராசிட்டமோல்,பேனிசில்லின்,ஸ்டிரெப்டோமிசின்,கிளோரோகுயின்,1,அன்றாட வேதியியல்,வலியை குறைக்கும் மருந்து
advance,12,Chemistry,Tamil,"உலோகவியலில், ஃப்ரொத் பிளோட்டேஷன் எதற்காக பயன்படுத்தப்படுகிறது?",சல்பைடு கனிமங்கள்,ஆக்சைடு கனிமங்கள்,கார்பனேட் கனிமங்கள்,கிளோரைடு கனிமங்கள்,1,உலோகவியல்,பபிள்கள் நினைவில் வைக்கவும்
advance,12,Chemistry,Tamil,எந்த எலெமென்ட் இனர்ட் பேர் எபெக்ட் மிக அதிகம் காட்டுகிறது?,Sn,Pb,C,Si,2,p-பிளாக் எலெமென்ட்கள்,கனிமம் எடை அதிகம்
advance,12,Chemistry,Tamil,எந்த உறைப்பு அதிக மின்சார நெறிமுறை காட்டுகிறது?,வைரம்,கிராபைட்,NaCl,ஐஸ்,2,உறைப்பு நிலை,அடுக்கு மின் சலுகை நினைவில் வைக்கவும்
